"Code département";"Libellé département";"Code commune";"Libellé commune";"Code BV";Inscrits;Votants;"% Votants";Abstentions;"% Abstentions";Exprimés;"% Exprimés/inscrits";"% Exprimés/votants";Blancs;"% Blancs/inscrits";"% Blancs/votants";Nuls;"% Nuls/inscrits";"% Nuls/votants";"Numéro de panneau 1";"Nuance candidat 1";"Nom candidat 1";"Prénom candidat 1";"Sexe candidat 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Elu 1";"Numéro de panneau 2";"Nuance candidat 2";"Nom candidat 2";"Prénom candidat 2";"Sexe candidat 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Elu 2";"Numéro de panneau 3";"Nuance candidat 3";"Nom candidat 3";"Prénom candidat 3";"Sexe candidat 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Elu 3";"Numéro de panneau 4";"Nuance candidat 4";"Nom candidat 4";"Prénom candidat 4";"Sexe candidat 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Elu 4"
"29";Finistère;"29019";Brest;"0007";738;407;"55,15%";331;"44,85%";373;"50,54%";"91,65%";34;"4,61%";"8,35%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;232;"31,44%";"62,20%";élu;3;RN;DONVAL;Martine;FEMININ;141;"19,11%";"37,80%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0008";868;561;"64,63%";307;"35,37%";527;"60,71%";"93,94%";34;"3,92%";"6,06%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;345;"39,75%";"65,46%";élu;3;RN;DONVAL;Martine;FEMININ;182;"20,97%";"34,54%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0009";867;542;"62,51%";325;"37,49%";507;"58,48%";"93,54%";35;"4,04%";"6,46%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;327;"37,72%";"64,50%";élu;3;RN;DONVAL;Martine;FEMININ;180;"20,76%";"35,50%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0010";849;562;"66,20%";287;"33,80%";499;"58,78%";"88,79%";63;"7,42%";"11,21%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;343;"40,40%";"68,74%";élu;3;RN;DONVAL;Martine;FEMININ;156;"18,37%";"31,26%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0011";999;614;"61,46%";385;"38,54%";578;"57,86%";"94,14%";36;"3,60%";"5,86%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;336;"33,63%";"58,13%";élu;3;RN;DONVAL;Martine;FEMININ;242;"24,22%";"41,87%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0012";824;585;"71,00%";239;"29,00%";537;"65,17%";"91,79%";48;"5,83%";"8,21%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;379;"46,00%";"70,58%";élu;3;RN;DONVAL;Martine;FEMININ;158;"19,17%";"29,42%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0013";840;492;"58,57%";348;"41,43%";455;"54,17%";"92,48%";37;"4,40%";"7,52%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;286;"34,05%";"62,86%";élu;3;RN;DONVAL;Martine;FEMININ;169;"20,12%";"37,14%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0014";799;583;"72,97%";216;"27,03%";542;"67,83%";"92,97%";41;"5,13%";"7,03%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;385;"48,19%";"71,03%";élu;3;RN;DONVAL;Martine;FEMININ;157;"19,65%";"28,97%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0015";870;614;"70,57%";256;"29,43%";571;"65,63%";"93,00%";43;"4,94%";"7,00%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;428;"49,20%";"74,96%";élu;3;RN;DONVAL;Martine;FEMININ;143;"16,44%";"25,04%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0016";727;477;"65,61%";250;"34,39%";445;"61,21%";"93,29%";32;"4,40%";"6,71%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;320;"44,02%";"71,91%";élu;3;RN;DONVAL;Martine;FEMININ;125;"17,19%";"28,09%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0017";799;550;"68,84%";249;"31,16%";508;"63,58%";"92,36%";42;"5,26%";"7,64%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;378;"47,31%";"74,41%";élu;3;RN;DONVAL;Martine;FEMININ;130;"16,27%";"25,59%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0018";704;429;"60,94%";275;"39,06%";394;"55,97%";"91,84%";35;"4,97%";"8,16%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;269;"38,21%";"68,27%";élu;3;RN;DONVAL;Martine;FEMININ;125;"17,76%";"31,73%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0019";923;599;"64,90%";324;"35,10%";555;"60,13%";"92,65%";44;"4,77%";"7,35%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;409;"44,31%";"73,69%";élu;3;RN;DONVAL;Martine;FEMININ;146;"15,82%";"26,31%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0020";777;517;"66,54%";260;"33,46%";473;"60,88%";"91,49%";44;"5,66%";"8,51%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;349;"44,92%";"73,78%";élu;3;RN;DONVAL;Martine;FEMININ;124;"15,96%";"26,22%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0021";827;519;"62,76%";308;"37,24%";466;"56,35%";"89,79%";53;"6,41%";"10,21%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;345;"41,72%";"74,03%";élu;3;RN;DONVAL;Martine;FEMININ;121;"14,63%";"25,97%";;;;;;;;;;;;;;;;;;;
